category,question,reference_answer,support_context_segment,Support_context_segment:
event,How many years of Carnegie Mellon University does the exhibit 'Room to Imagine' celebrate?,125 years,This immersive exhibit celebrates 125 years of Carnegie Mellon University.,
event,Where will the 'Connecting to Nature Experiential Workshop' meet before walking to Schenley Park?,Well-being Lab in the Highmark Center,"We will meet in the Well-being Lab in the Highmark Center and walk to Schenley Park, weather permitting.",
event,"Which hotels are offering special room rates for CMU Homecoming Weekend, and what are their respective booking deadlines?","['Courtyard Pittsburgh University Center - Book by March 9, 2026', 'Hilton Garden Inn Pittsburgh University Place - Book by March 9, 2026', 'Residence Inn Pittsburgh Oakland/University Place - Book by March 9, 2026', 'Hotel Indigo Pittsburgh East Liberty - Book by March 10, 2026', 'SpringHill Suites Pittsburgh Bakery Square - Book by March 9, 2026', 'Hotel Indigo Pittsburgh University - Oakland - Book by March 10, 2026']","Several local hotels have blocks of rooms held for reunion alumni. Hotels book quickly, so make your reservation as early as possible! The special room rate will be available until varying cut-off dates or until the group block is sold out, whichever comes first.

#### Courtyard Pittsburgh University Center
- Book by: March 9, 2026  

#### Hilton Garden Inn Pittsburgh University Place
- Book by: March 9, 2026  

####  Residence Inn Pittsburgh Oakland/University Place
- Book by: March 9, 2026  

#### Hotel Indigo Pittsburgh East Liberty
- Book by: March 10, 2026  

#### SpringHill Suites Pittsburgh Bakery Square
- Book by: March 9, 2026  

#### Hotel Indigo Pittsburgh University - Oakland
- Book by: March 10, 2026",
event,"What event at Mr Small's Fun House starts at 8:00 PM on October 30, 2025?",The Local Honeys,"### [Event Name]: The Local Honeys
**Date & Time:** Oct 30, 2025 8:00 PM
**Location:** Mr Small's Fun House",
event,"Which event takes place at PPG Paints Arena on November 2, 2025?",Bryan Adams concert at 7:30 PM,"### [Event Name]: Bryan Adams
**Date & Time:** Nov 2, 2025 7:30 PM
**Location:** PPG Paints Arena",
event,Where and when is the 'Start Making Sense - Talking Heads Tribute' concert?,"November 1, 2025 at 8:00 PM, Mr Small's Theatre","### [Event Name]: Start Making Sense - Talking Heads Tribute
**Date & Time:** Nov 1, 2025 8:00 PM
**Location:** Mr Small's Theatre",
event,What is the purpose of the 'Rare Books & Ancestral Machines' exhibition at the Posner Center?,"It inaugurates University Libraries’ newly renovated Posner Center, surveying its collections and tracing more than four centuries of scientific inquiry and learning.","This exhibition inaugurates University Libraries’ newly renovated Posner Center, surveying its collections and tracing more than four centuries of scientific inquiry and learning.",
event,When are final grades due?,December 17 at 4pm,"Final Grade Due at 4pm
12.17",
event,What is the DSAC at Carnegie Mellon University?,A student-led organization composed of undergraduate and graduate students dedicated to enhancing the Carnegie Mellon University Dining Services program.,The Dining Student Advisory Committee (DSAC) is a student-led organization composed of undergraduate and graduate students dedicated to enhancing the Carnegie Mellon University Dining Services program.,
event,When is Carnegie Mellon University's Homecoming Weekend celebrating CMU's 125th anniversary?,November 6-8,"Make plans to attend Homecoming Weekend, Nov. 6-8, to celebrate 125 years of Carnegie Mellon University.",
event,Which annual edition of CMU's Food Drive is being held in 2025?,32nd Annual Food Drive,"CMU’s 32nd Annual Food Drive Oct. 1-Nov. 7, 2025 benefitting the Greater Pittsburgh Community Food Bank",
event,What activities take place during CMU's Homecoming Weekend?,"CMU Alumni Awards, campus tours, Buggy previews, tailgate, and football game.","Each fall, the CMU community puts on their best Tartan for a weekend of family-friendly activities like the annual CMU Alumni Awards, campus tours, Buggy previews and the tailgate and football game.",
event,Which school is presenting 'The House of Bernarda Alba' at CMU?,The School of Drama,"The School of Drama presents “The House of Bernarda Alba” by Federico García Lorca, adapted by Chay Yew and directed by Samantha Pazos at Purnell Center for the Arts, Philip Chosky Theater on October 11, 2025.",
event,When is the Mini-1 Last Day of Classes at CMU?,10-Oct-25,"Mini-1 Last Day of Classes is on October 10, 2025.",
event,What can participants expect from the Comedy Bus Tour in Pittsburgh?,A sightseeing tour with stunning skyline views and performances by hilarious local comedians.,Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!,
event,What happens during CMU's Reunion Weekend?,Alumni celebrate their Reunion year with exclusive events to connect with peers and create new memories during Spring Carnival.,"During Spring Carnival, Tartans celebrating their Reunion year join exclusive events, opportunities to connect — and reconnect — with peers and create new memories at CMU.",
event,What are the Presidential Tours at Carnegie Mellon University?,"President Farnam Jahanian visits cities nationwide to meet alumni, share CMU's vision, showcase faculty research, and provide networking opportunities with university leadership.",President Farnam Jahanian visits different cities throughout the year to meet Tartans across the country and share Carnegie Mellon’s inspiring vision for the future. Faculty members share cutting-edge research and alumni have a chance to network with each other and university leadership.,
event,When is the Holocaust Center Tour?,16-Nov-25,"DET - Holocaust Center Tour is scheduled for November 16, 2025.",
event,"Who is performing at Thunderbird Cafe on November 6, 2025?",Kathleen Edwards,### [Event Name]: Kathleen Edwards [...] **Location:** Thunderbird Cafe,
event,Which organization provides dogs for the Paws to Relax program at CMU?,Animal Friend’s Therapet program,"Volunteers through Animal Friend’s Therapet program will join us on Wednesdays, from 6:30-7:30 p.m., to offer some friendly dog companions for the hour.",
event,Where is the event 'The Art and Science of Rafael Lucas Rodríguez Caballero' located?,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","### [Event Name]: The Art and Science of Rafael Lucas Rodríguez Caballero [...] **Location:** Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library",
event,What is the name of the event celebrating 125 years of Carnegie Mellon University?,Room to Imagine: 125 Years of Carnegie Mellon University,### [Event Name]: Room to Imagine: 125 Years of Carnegie Mellon University,
event,Who is the subject of the exhibition at the Hunt Institute for Botanical Documentation?,Rafael Lucas Rodríguez Caballero,"This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator.",
event,When is the Pittsburgh Panthers Women's Volleyball game taking place in November?,"The Pittsburgh Panthers Women's Volleyball game is scheduled for November 7, 2025, at 7:00 PM at Fitzgerald Field House.","### [Event Name]: Pittsburgh Panthers Women's Volleyball
**Date & Time:** Nov 7, 2025 7:00 PM
**Location:** Fitzgerald Field House
**Link:** https://pittsburgh.events/tickets/pittsburgh-panthers-womens-volleyball/",
event,What is the purpose of the Architecture Archives at CMU?,"The Architecture Archives was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",
event,What is the location of the (Women’s Volleyball) Rochester (N.Y.) vs. Carnegie Mellon game?,"Case Western Reserve University - Cleveland, Ohio","Location: Case Western Reserve University - Cleveland, Ohio",
