id,title,time,description,links
id-2157560,Pittsburgh Restaurant Week,Winter: Jan. 2026 (Dates TBA) Summer: Aug. 2026 (Dates TBA),"Pittsburgh Restaurant Week in January and August each year features more than 50 restaurants offering special dining deals. During the week-long, city-wide event, dine at one of Pittsburgh's finest restaurants and take advantage of three-course, fixed-price meals specials.",http://pittsburghrestaurantweek.com/
id-2157561,Fish Fry Season,"Feb. 18-Apr. 2, 2026","Another Pittsburgh food staple is the Lenten Fish Fry . Beginning on Ash Wednesday and continuing every Friday until Easter, you can find great fish fries held in churches, fire halls and community buildings all over the Pittsburgh area.",https://www.facebook.com/PittsburghLentenFishFryMap
id-2157562,South Side Soup Contest,Feb. 2026 (Dates TBA),"Soup's on at the South Side Soup Contest . With Butternut Bourbon Bisque and Chipotle Chicken Chorizo, it's mmmmm good! This annual contest warms the heart - and belly. The annual February event allows shoppers in Pittsburgh's funky South Side neighborhood to sample soups from 20 local restaurants for one low price. More than 1,200 people slurped and shopped in the ""Soup Hop,"" which benefits a local food pantry.",http://www.southsidesoup.com/
id-2157563,Greek Food Festivals,Select dates throughout Pittsburgh May-Sept.,Our Insider's Guide to Pittsburgh Greek Food Festivals provides a complete listing of the many Greek festival dates and locations.,https://www.visitpittsburgh.com/blog/pittsburgh-guide-to-greek-food-festivals/
id-2157564,Mac & Cheese Festival,"May 2, 2026 | Stacks at 3 Crossings","Top chefs, food trucks and vendors will serve up 30+ kinds of Mac & Cheese for you to sample as we crown the best mac and cheese in Pittsburgh.",https://macandcheesefestival.com/city-events/pittsburgh-mac-and-cheese-festival/
id-2157565,Picklesburgh,July 2026 (Dates TBA),"For three days in July, Downtown Pittsburgh will transform into Picklesburgh , highlighted by a giant flying pickle balloon. Picklesburgh is an annual festival that celebrates pickling in all its glorious incarnations and goes beyond the dill pickle to include international dishes and handcrafted foods from local chefs; “how-to” demos; a selection of artisan cocktails; pickle themed merchandise, live music, and even a competitive pickle juice drinking contest.",https://www.visitpittsburgh.com/blog/pittsburgh-is-picklesburgh/
id-2157566,The Original Pittsburgh Taco Festival,"Sept. 6, 2025 | The Stacks at 3 Crossings","Make time for the Pittsburgh Taco Festival , an annual food festival that celebrates tacos and the city's Latin-American community.","http://www.pghtacofest.com/, https://www.visitpittsburgh.com/events-festivals/food-festivals/the-original-pittsburgh-taco-festival/"
id-2157567,Little Italy Days,Aug. 2026 (Dates TBA) | Bloomfield,"It's all-Italian-all the time at Bloomfield Little Italy Days which takes place at the end of August and features music, food, games and more food! Tacos are more than for Tuesday!",http://littleitalydays.com/
id-2157568,VegFest,Aug. 2026 (Dates TBA) | Allegheny Commons Park,"Vegetarians and Vegans are not left out in Pittsburgh! Every summer Pittsburgh gathers for Pittsburgh VegFest , highlighting local vegetable-based restaurants and shops, meat-eaters might just be surprised how satisfied you will be eating a vegetable-based meal!","https://www.visitpittsburgh.com/blog/pittsburgh-vegan-restaurants/, http://pittsburghvegfest.org/"
id-2157569,Pittsburgh Irish Festival,"Sept. 5-7, 2025 | Carrie Blast Furnaces","For more than 30 years, Pittsburgh Irish Festival has celebrated the rich culture of Ireland and its unique ties to the Burgh through music, food and dance. You only need to be Irish at heart to join this Only in Pittsburgh celebration!",https://pghirishfest.org/
id-2157571,Lawrenceville Cookie Tour,"2025 Dates TBA | Lawrenceville Businesses The Lawrenceville neighborhood hosts the annual Joy of Cookies Cookie Tour each December. This free, family-friendly event takes place at more than 30 participating businesses where Cookie Tourists can sample the shopkeeper's favorite cookie.",,https://lvpgh.com/cookietour2023/
id-2157573,Apple Festivals,Fall 2025,Fall means apple season in Pittsburgh and the surrounding region. Don't-miss apple festivals include the Hickory Apple Festival and Delmont Apple n Arts Festival which bring a healthy dose of family fun and hundreds of gallons of fresh cider to attendees.,"http://hickoryapplefest.com/, https://www.delmontapplenarts.com/"
id-2157574,Maple Festivals,March-April 2026,Spring is maple season and the Maple Syrup Festival in Beaver County and Maple Taste & Tour Weekend and PA Maple Festival in Somerset County are your ticket to tree tapping and the freshest maple syrup from the state's top producers.,"https://www.facebook.com/BeaverCountyMapleSyrupMusicFestival/, https://www.pamaplefestival.com/maple-weekend-taste--tour.html, https://www.pamaplefestival.com/"
