category,question,reference_answer,support_context_segment
event,How many years of Carnegie Mellon University does the exhibit 'Room to Imagine' celebrate?,125 years,This immersive exhibit celebrates 125 years of Carnegie Mellon University.
event,Which organization provides dogs for the Paws to Relax program at CMU?,Animal Friend’s Therapet program,"Volunteers through Animal Friend’s Therapet program will join us on Wednesdays, from 6:30-7:30 p.m., to offer some friendly dog companions for the hour."
event,Where is the event 'The Art and Science of Rafael Lucas Rodríguez Caballero' located?,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","### [Event Name]: The Art and Science of Rafael Lucas Rodríguez Caballero [...] **Location:** Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library"
event,What is the name of the event celebrating 125 years of Carnegie Mellon University?,Room to Imagine: 125 Years of Carnegie Mellon University,### [Event Name]: Room to Imagine: 125 Years of Carnegie Mellon University
event,Who is the subject of the exhibition at the Hunt Institute for Botanical Documentation?,Rafael Lucas Rodríguez Caballero,"This exhibition at the Hunt Institute for Botanical Documentation celebrates the extraordinary life and work of Rafael Lucas Rodríguez Caballero, Costa Rican botanist, artist and educator."
event,When is the Pittsburgh Panthers Women's Volleyball game taking place in November?,"The Pittsburgh Panthers Women's Volleyball game is scheduled for November 7, 2025, at 7:00 PM at Fitzgerald Field House.","### [Event Name]: Pittsburgh Panthers Women's Volleyball
**Date & Time:** Nov 7, 2025 7:00 PM
**Location:** Fitzgerald Field House
**Link:** https://pittsburgh.events/tickets/pittsburgh-panthers-womens-volleyball/"
event,What is the purpose of the Architecture Archives at CMU?,"The Architecture Archives was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city."
event,What is the location of the (Women’s Volleyball) Rochester (N.Y.) vs. Carnegie Mellon game?,"Case Western Reserve University - Cleveland, Ohio","Location: Case Western Reserve University - Cleveland, Ohio"
event,Where is the Art and Science of Rafael Lucas Rodríguez Caballero exhibition located?,"Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library","Location: Hunt Institute for Botanical Documentation, 5th Floor, Hunt Library"
event,"Who is performing at Carnegie of Homestead Music Hall on November 22, 2025?",Jimmy Failla,### [Event Name]: Jimmy Failla [...] **Location:** Carnegie of Homestead Music Hall
event,"What event is happening at Thunderbird Cafe on November 22, 2025?",Tauk,### [Event Name]: Tauk [...] **Location:** Thunderbird Cafe
event,"Who is performing at Thunderbird Cafe on November 6, 2025?",Kathleen Edwards,### [Event Name]: Kathleen Edwards [...] **Location:** Thunderbird Cafe
event,When is the Holocaust Center Tour?,16-Nov-25,"DET - Holocaust Center Tour is scheduled for November 16, 2025."
event,What are the Presidential Tours at Carnegie Mellon University?,"President Farnam Jahanian visits cities nationwide to meet alumni, share CMU's vision, showcase faculty research, and provide networking opportunities with university leadership.",President Farnam Jahanian visits different cities throughout the year to meet Tartans across the country and share Carnegie Mellon’s inspiring vision for the future. Faculty members share cutting-edge research and alumni have a chance to network with each other and university leadership.
event,What is the Bikes & Brews Tour in Pittsburgh?,"A bike tour that includes historical facts, beer-making information, and beer samples from the stops along the route.","Bike the Burgh tour packed with lots of history, facts about beer making, and beer samples from each of the places we stop at."
event,What can participants expect from the Comedy Bus Tour in Pittsburgh?,A sightseeing tour with stunning skyline views and performances by hilarious local comedians.,Get ready for a sightseeing tour like no other! Hop aboard the Burgh Bus where the laughter never stops. Enjoy stunning skyline views and hilarious local comedians!
